Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     
1.000000e+00         1.036500e-10         1.661620e-01      1.047380e-10         1.666400e-01      1.046400e-10         1.664570e-01      
2.253165e+00         2.706550e-11         1.145280e-03      2.705050e-11         7.873350e-04      2.704780e-11         1.138190e-03      
3.506329e+00         2.297790e-11         -3.121120e-04      2.296680e-11         6.133400e-05      2.296760e-11         1.800160e-04      
4.759494e+00         2.064010e-11         1.632130e-03      2.063850e-11         1.395120e-03      2.063310e-11         1.198270e-03      
6.012658e+00         1.901110e-11         6.200220e-05      1.900370e-11         7.845670e-05      1.900080e-11         -1.357430e-05      
7.265823e+00         1.785090e-11         1.722210e-03      1.784940e-11         1.638960e-03      1.785190e-11         1.714080e-03      
8.518987e+00         1.692400e-11         1.953830e-03      1.692110e-11         2.134180e-03      1.693240e-11         1.751440e-03      
9.772152e+00         1.614210e-11         1.652040e-04      1.613450e-11         5.682900e-04      1.612960e-11         1.243130e-04      
1.102532e+01         1.551910e-11         2.084700e-03      1.551790e-11         2.181540e-03      1.552030e-11         2.049160e-03      
1.227848e+01         1.499520e-11         2.078760e-03      1.499110e-11         2.398950e-03      1.498700e-11         1.963400e-03      
1.353165e+01         1.453840e-11         2.601970e-03      1.453550e-11         2.110610e-03      1.453300e-11         2.467320e-03      
1.478481e+01         1.413130e-11         2.529920e-03      1.412980e-11         2.274370e-03      1.413070e-11         2.248400e-03      
1.603797e+01         1.374050e-11         1.572700e-05      1.373790e-11         7.136870e-04      1.373470e-11         -1.969680e-04      
1.729114e+01         1.345420e-11         2.042430e-03      1.345870e-11         2.812290e-03      1.345140e-11         2.258990e-03      
1.854430e+01         1.317500e-11         2.574890e-03      1.317300e-11         2.840560e-03      1.316780e-11         2.802020e-03      
1.979747e+01         1.286980e-11         3.802940e-04      1.286780e-11         2.342970e-04      1.287030e-11         1.987410e-04      
2.105063e+01         1.267000e-11         2.760210e-03      1.266950e-11         2.899770e-03      1.267140e-11         2.775950e-03      
2.230380e+01         1.241060e-11         3.503320e-04      1.241740e-11         3.314020e-04      1.240980e-11         3.924580e-04      
2.355696e+01         1.224950e-11         3.044410e-03      1.225310e-11         2.567200e-03      1.225010e-11         3.281750e-03      
2.481013e+01         1.206290e-11         2.867850e-03      1.206520e-11         2.869530e-03      1.206350e-11         2.898360e-03      
2.606329e+01         1.189340e-11         2.992200e-03      1.189500e-11         3.158760e-03      1.188960e-11         3.154960e-03      
2.731646e+01         1.173520e-11         2.922580e-03      1.172230e-11         2.871480e-03      1.173320e-11         3.221380e-03      
2.856962e+01         1.157940e-11         2.885420e-03      1.157770e-11         2.815140e-03      1.157440e-11         3.047410e-03      
2.982278e+01         1.143560e-11         3.074260e-03      1.143380e-11         3.008820e-03      1.143310e-11         3.101250e-03      
3.107595e+01         1.129690e-11         3.440360e-03      1.130020e-11         2.818120e-03      1.129110e-11         2.748790e-03      
3.232911e+01         1.117100e-11         2.602090e-03      1.117280e-11         3.499960e-03      1.116770e-11         3.243410e-03      
3.358228e+01         1.101250e-11         3.141920e-04      1.100670e-11         5.112400e-04      1.101530e-11         3.748300e-04      
3.483544e+01         1.094110e-11         3.389660e-03      1.093920e-11         3.393420e-03      1.093800e-11         3.270360e-03      
3.608861e+01         1.083220e-11         3.050760e-03      1.083260e-11         3.278740e-03      1.083160e-11         3.330320e-03      
3.734177e+01         1.069380e-11         4.501910e-04      1.069010e-11         9.138380e-04      1.068810e-11         4.202390e-04      
3.859494e+01         1.063320e-11         3.570960e-03      1.063670e-11         3.054790e-03      1.063310e-11         3.158500e-03      
3.984810e+01         1.050160e-11         6.360370e-04      1.049820e-11         5.093240e-04      1.050030e-11         1.798840e-04      
4.110127e+01         1.045380e-11         3.718640e-03      1.045140e-11         2.693210e-03      1.045770e-11         3.786210e-03      
4.235443e+01         1.036490e-11         3.548840e-03      1.037170e-11         2.797730e-03      1.037260e-11         3.875100e-03      
4.360759e+01         1.025460e-11         1.868200e-04      1.023990e-11         4.988070e-04      1.024930e-11         8.717580e-04      
4.486076e+01         1.021050e-11         3.629440e-03      1.021220e-11         3.552240e-03      1.021360e-11         3.407240e-03      
4.611392e+01         1.013770e-11         3.331500e-03      1.013390e-11         3.443490e-03      1.013590e-11         3.344080e-03      
4.736709e+01         1.006690e-11         3.478680e-03      1.005840e-11         3.160880e-03      1.006800e-11         2.331850e-03      
