Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     
1.000000e+00         4.336830e-12         1.455580e-02      4.336110e-12         1.536290e-02      4.341420e-12         1.524030e-02      
2.253165e+00         4.334770e-12         7.997770e-03      4.340710e-12         7.920700e-03      4.340150e-12         9.713280e-03      
3.506329e+00         4.339090e-12         8.168360e-03      4.341110e-12         8.340620e-03      4.339400e-12         9.158370e-03      
4.759494e+00         4.295460e-12         1.299280e-03      4.297280e-12         2.183730e-03      4.302500e-12         2.204100e-03      
6.012658e+00         4.340710e-12         8.019950e-03      4.335910e-12         9.560070e-03      4.343430e-12         8.284780e-03      
7.265823e+00         4.338310e-12         9.332130e-03      4.340210e-12         8.705200e-03      4.340710e-12         8.603350e-03      
8.518987e+00         4.334530e-12         9.713570e-03      4.336400e-12         7.847640e-03      4.345160e-12         8.925950e-03      
9.772152e+00         4.292890e-12         3.384110e-03      4.303680e-12         2.399190e-03      4.295540e-12         1.492980e-03      
1.102532e+01         4.338210e-12         7.831170e-03      4.334390e-12         9.501190e-03      4.343790e-12         8.565930e-03      
1.227848e+01         4.338470e-12         1.037390e-02      4.334380e-12         9.640720e-03      4.336720e-12         8.064530e-03      
1.353165e+01         4.297900e-12         2.151100e-03      4.299050e-12         2.177730e-03      4.298520e-12         2.115540e-03      
1.478481e+01         4.338780e-12         8.852740e-03      4.337260e-12         8.711390e-03      4.337180e-12         9.255820e-03      
1.603797e+01         4.300740e-12         2.456490e-03      4.295660e-12         2.583120e-03      4.297110e-12         1.561400e-03      
1.729114e+01         4.338810e-12         7.994620e-03      4.343370e-12         8.987010e-03      4.337040e-12         9.500400e-03      
1.854430e+01         4.300020e-12         2.697990e-03      4.297560e-12         1.574750e-03      4.295430e-12         2.937910e-03      
1.979747e+01         4.336140e-12         9.228370e-03      4.337060e-12         9.142740e-03      4.335060e-12         9.199730e-03      
2.105063e+01         4.341360e-12         9.736520e-03      4.337330e-12         1.003380e-02      4.334250e-12         8.338840e-03      
2.230380e+01         4.332660e-12         8.532180e-03      4.343780e-12         7.712090e-03      4.332490e-12         1.024360e-02      
2.355696e+01         4.343700e-12         8.614310e-03      4.333150e-12         9.244300e-03      4.342520e-12         7.785310e-03      
2.481013e+01         4.341920e-12         8.493010e-03      4.342360e-12         1.025240e-02      4.336640e-12         9.364510e-03      
2.606329e+01         4.341390e-12         8.802440e-03      4.336010e-12         1.043670e-02      4.334310e-12         8.303660e-03      
2.731646e+01         4.302090e-12         1.499000e-03      4.292280e-12         2.864510e-03      4.302830e-12         2.488170e-03      
2.856962e+01         4.341590e-12         9.063810e-03      4.344020e-12         9.905020e-03      4.334400e-12         1.069790e-02      
2.982278e+01         4.319670e-12         7.869440e-03      4.355330e-12         9.324040e-03      4.328360e-12         1.168660e-02      
3.107595e+01         4.290500e-12         3.589420e-03      4.293650e-12         1.761060e-03      4.296830e-12         1.874830e-03      
3.232911e+01         4.338620e-12         8.892330e-03      4.339730e-12         8.878250e-03      4.336130e-12         8.461820e-03      
3.358228e+01         4.343380e-12         8.739760e-03      4.330520e-12         8.609270e-03      4.344860e-12         9.676310e-03      
3.483544e+01         4.334710e-12         1.035880e-02      4.333480e-12         9.009730e-03      4.335550e-12         8.635610e-03      
3.608861e+01         4.340370e-12         9.666580e-03      4.336610e-12         9.682290e-03      4.335690e-12         9.876320e-03      
3.734177e+01         4.299460e-12         4.054310e-03      4.292490e-12         1.305740e-03      4.303890e-12         2.834750e-03      
3.859494e+01         4.329690e-12         8.891940e-03      4.343510e-12         9.646700e-03      4.334620e-12         8.213170e-03      
3.984810e+01         4.302560e-12         3.052780e-03      4.289770e-12         1.762900e-03      4.302030e-12         3.442710e-03      
4.110127e+01         4.342030e-12         7.839630e-03      4.329430e-12         9.593670e-03      4.342840e-12         9.316410e-03      
4.235443e+01         4.331740e-12         8.450560e-03      4.343010e-12         9.689410e-03      4.331710e-12         9.867210e-03      
4.360759e+01         4.334040e-12         1.025350e-02      4.332180e-12         8.770580e-03      4.336970e-12         8.556870e-03      
4.486076e+01         4.339710e-12         8.313350e-03      4.339380e-12         1.071920e-02      4.332640e-12         8.408530e-03      
4.611392e+01         4.342160e-12         8.652010e-03      4.330430e-12         9.594330e-03      4.341950e-12         8.741810e-03      
4.736709e+01         4.335990e-12         8.120340e-03      4.333110e-12         8.951750e-03      4.335430e-12         9.506620e-03      
4.862025e+01         4.342950e-12         8.603310e-03      4.343340e-12         1.032900e-02      4.332150e-12         1.105190e-02      
4.987342e+01         4.335820e-12         1.170200e-02      4.328260e-12         8.611620e-03      4.336200e-12         8.220670e-03      
5.112658e+01         4.296500e-12         1.460140e-03      4.298200e-12         2.535950e-03      4.298880e-12         2.194920e-03      
