Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     
1.000000e+00         2.747000e-10         2.012070e-01      2.761970e-10         2.011930e-01      2.766990e-10         2.009950e-01      
2.253165e+00         3.082370e-11         9.841870e-03      3.081110e-11         9.855730e-03      3.080740e-11         9.840690e-03      
3.506329e+00         2.580870e-11         5.951590e-03      2.580050e-11         5.954340e-03      2.579650e-11         5.937470e-03      
4.759494e+00         2.295810e-11         5.999830e-03      2.295360e-11         6.085210e-03      2.295560e-11         5.796790e-03      
6.012658e+00         2.103380e-11         5.223530e-03      2.103200e-11         5.137710e-03      2.103270e-11         5.189790e-03      
7.265823e+00         1.960050e-11         4.978770e-03      1.959870e-11         4.917810e-03      1.960130e-11         4.781350e-03      
8.518987e+00         1.848790e-11         4.658960e-03      1.849830e-11         4.851460e-03      1.850290e-11         4.215430e-03      
9.772152e+00         1.760630e-11         4.713170e-03      1.761680e-11         4.533480e-03      1.761520e-11         3.850690e-03      
1.102532e+01         1.683390e-11         4.056190e-03      1.683560e-11         4.367860e-03      1.683960e-11         4.109740e-03      
1.227848e+01         1.622700e-11         3.975760e-03      1.622820e-11         3.871890e-03      1.622600e-11         3.709560e-03      
1.353165e+01         1.570410e-11         3.551650e-03      1.570370e-11         3.570920e-03      1.570260e-11         3.631200e-03      
1.478481e+01         1.521270e-11         1.405210e-03      1.521080e-11         1.400080e-03      1.520880e-11         1.347450e-03      
1.603797e+01         1.487160e-11         3.223310e-03      1.487640e-11         3.616820e-03      1.486800e-11         3.214370e-03      
1.729114e+01         1.454570e-11         3.271510e-03      1.455190e-11         2.885360e-03      1.454860e-11         3.592690e-03      
1.854430e+01         1.429120e-11         3.285950e-03      1.429350e-11         2.813280e-03      1.429060e-11         2.843500e-03      
1.979747e+01         1.408490e-11         2.696120e-03      1.408660e-11         2.737260e-03      1.408470e-11         2.703750e-03      
2.105063e+01         1.388430e-11         7.055770e-04      1.388390e-11         2.960320e-04      1.387800e-11         2.287770e-04      
2.230380e+01         1.380130e-11         2.818750e-03      1.380440e-11         2.773350e-03      1.380500e-11         2.490650e-03      
2.355696e+01         1.371080e-11         2.583500e-03      1.371090e-11         2.448470e-03      1.370920e-11         2.537250e-03      
2.481013e+01         1.364230e-11         2.357460e-03      1.364300e-11         2.382250e-03      1.364310e-11         2.592850e-03      
2.606329e+01         1.359480e-11         2.186090e-03      1.359950e-11         2.407600e-03      1.359420e-11         2.193480e-03      
2.731646e+01         1.356420e-11         2.292920e-03      1.356290e-11         2.054770e-03      1.356190e-11         2.392570e-03      
2.856962e+01         1.353920e-11         2.049550e-03      1.353850e-11         2.303530e-03      1.354340e-11         2.363120e-03      
2.982278e+01         1.352590e-11         2.325650e-03      1.351910e-11         2.174440e-03      1.352070e-11         1.920140e-03      
3.107595e+01         1.350720e-11         1.977950e-03      1.350570e-11         2.044020e-03      1.350670e-11         2.054960e-03      
3.232911e+01         1.345380e-11         -2.948300e-04      1.345540e-11         1.303360e-05      1.345090e-11         -2.509050e-04      
3.358228e+01         1.349270e-11         1.874130e-03      1.348680e-11         2.455890e-03      1.349380e-11         1.836010e-03      
3.483544e+01         1.348330e-11         2.539550e-03      1.347990e-11         1.794120e-03      1.348440e-11         2.432390e-03      
3.608861e+01         1.347140e-11         1.996540e-03      1.347610e-11         1.949510e-03      1.347670e-11         1.982130e-03      
3.734177e+01         1.346960e-11         1.785570e-03      1.346960e-11         1.732720e-03      1.347100e-11         1.911390e-03      
3.859494e+01         1.346640e-11         1.906120e-03      1.346750e-11         1.935700e-03      1.346700e-11         2.038520e-03      
3.984810e+01         1.346410e-11         1.892610e-03      1.346000e-11         2.171930e-03      1.346080e-11         1.828310e-03      
4.110127e+01         1.342100e-11         -2.551640e-04      1.341350e-11         -6.170640e-04      1.342000e-11         -7.776990e-05      
4.235443e+01         1.345900e-11         1.988320e-03      1.345880e-11         1.682090e-03      1.345600e-11         1.844570e-03      
4.360759e+01         1.345410e-11         1.883520e-03      1.345440e-11         1.801310e-03      1.345450e-11         1.732920e-03      
4.486076e+01         1.340480e-11         -3.701050e-04      1.340530e-11         -1.683120e-04      1.341220e-11         -3.332090e-04      
4.611392e+01         1.345130e-11         2.001400e-03      1.344960e-11         1.588780e-03      1.344390e-11         1.998370e-03      
4.736709e+01         1.339900e-11         -6.356200e-04      1.341020e-11         -4.201330e-04      1.340040e-11         -4.525570e-04      
4.862025e+01         1.344180e-11         2.291050e-03      1.344550e-11         1.527070e-03      1.344320e-11         2.179350e-03      
4.987342e+01         1.343930e-11         2.266830e-03      1.344590e-11         1.466490e-03      1.343910e-11         2.058620e-03      
5.112658e+01         1.343350e-11         1.909120e-03      1.344630e-11         1.564230e-03      1.343850e-11         2.158340e-03      
5.237975e+01         1.343850e-11         1.715370e-03      1.343820e-11         1.877230e-03      1.343850e-11         2.053070e-03      
5.363291e+01         1.344570e-11         2.256040e-03      1.343630e-11         8.361190e-04      1.343510e-11         2.906270e-03      
5.488608e+01         1.344560e-11         2.718700e-03      1.342670e-11         8.385680e-04      1.344450e-11         2.607070e-03      
5.613924e+01         1.343690e-11         2.611830e-03      1.343940e-11         1.073140e-03      1.342490e-11         1.858230e-03      
5.739241e+01         1.339760e-11         -5.453450e-04      1.339400e-11         -9.011920e-04      1.339250e-11         -8.013350e-04      
5.864557e+01         1.342610e-11         1.699750e-03      1.343760e-11         1.742940e-03      1.342640e-11         1.874360e-03      
5.989873e+01         1.343130e-11         1.553610e-03      1.343030e-11         1.671140e-03      1.343110e-11         1.722540e-03      
6.115190e+01         1.338410e-11         -4.344320e-04      1.339170e-11         -6.296190e-04      1.338680e-11         -9.156620e-04      
6.240506e+01         1.342310e-11         1.637230e-03      1.343280e-11         2.152230e-03      1.342820e-11         1.376210e-03      
6.365823e+01         1.338700e-11         -2.944820e-04      1.339180e-11         -9.165790e-04      1.338140e-11         -8.402020e-04      
6.491139e+01         1.342930e-11         1.869130e-03      1.342710e-11         1.693330e-03      1.342650e-11         1.863550e-03      
6.616456e+01         1.338470e-11         -6.811010e-04      1.338160e-11         -7.075300e-04      1.338540e-11         -7.704050e-04      
6.741772e+01         1.342520e-11         1.460770e-03      1.342360e-11         1.648330e-03      1.342600e-11         1.929770e-03      
6.867089e+01         1.342110e-11         1.557320e-03      1.342270e-11         1.802840e-03      1.342920e-11         1.897200e-03      
6.992405e+01         1.343240e-11         2.967130e-03      1.340340e-11         1.592530e-03      1.343680e-11         3.182130e-04      
7.117722e+01         1.344410e-11         1.367340e-03      1.342350e-11         3.049320e-03      1.339980e-11         1.334290e-03      
7.243038e+01         1.342510e-11         2.694980e-04      1.342630e-11         2.722260e-03      1.341530e-11         5.068550e-04      
7.368354e+01         1.341920e-11         7.056840e-04      1.341040e-11         1.896020e-03      1.342570e-11         1.994730e-03      
7.493671e+01         1.337940e-11         -5.974460e-04      1.337240e-11         -9.127840e-04      1.338270e-11         -8.924370e-04      
7.618987e+01         1.341820e-11         1.560980e-03      1.341790e-11         1.479470e-03      1.341880e-11         1.455190e-03      
7.744304e+01         1.337720e-11         -7.780510e-04      1.337760e-11         -1.106700e-03      1.337450e-11         -1.046630e-03      
7.869620e+01         1.341600e-11         1.231130e-03      1.341870e-11         1.926170e-03      1.341430e-11         1.315330e-03      
7.994937e+01         1.341320e-11         1.831590e-03      1.341420e-11         1.502140e-03      1.341450e-11         1.515200e-03      
8.120253e+01         1.341580e-11         1.677630e-03      1.341520e-11         1.845250e-03      1.341750e-11         1.780810e-03      
8.245570e+01         1.341310e-11         1.544930e-03      1.341750e-11         1.643690e-03      1.341480e-11         1.515180e-03      
8.370886e+01         1.337320e-11         -8.091280e-04      1.337350e-11         -1.119480e-03      1.337250e-11         -1.020700e-03      
8.496203e+01         1.341580e-11         1.509810e-03      1.341360e-11         1.785900e-03      1.341490e-11         1.812540e-03      
8.621519e+01         1.341190e-11         2.048070e-03      1.342280e-11         1.479140e-03      1.341260e-11         8.721090e-04      
8.746835e+01         1.341940e-11         2.597940e-03      1.340850e-11         3.928470e-04      1.342320e-11         2.555090e-03      
8.872152e+01         1.342450e-11         5.113860e-04      1.340200e-11         2.071020e-03      1.342520e-11         1.662510e-03      
8.997468e+01         1.341760e-11         1.478510e-03      1.341390e-11         1.208330e-03      1.341200e-11         1.381620e-03      
