Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     
1.000000e+00         4.341630e-12         5.596620e-03      4.364640e-12         1.021170e-02      4.337150e-12         1.331610e-02      
2.253165e+00         4.337850e-12         6.141310e-03      4.352910e-12         1.180140e-02      4.347560e-12         6.464940e-03      
3.506329e+00         4.333110e-12         6.708250e-03      4.363890e-12         1.056750e-02      4.330220e-12         1.041410e-02      
4.759494e+00         4.285490e-12         4.124080e-03      4.296020e-12         -1.025390e-03      4.318770e-12         -5.925420e-04      
6.012658e+00         4.329700e-12         7.306950e-03      4.360890e-12         6.212440e-03      4.355580e-12         1.328880e-02      
7.265823e+00         4.358150e-12         1.278690e-02      4.330470e-12         1.115610e-02      4.352210e-12         5.250990e-03      
8.518987e+00         4.345330e-12         4.982870e-03      4.356670e-12         1.174310e-02      4.331360e-12         8.234370e-03      
9.772152e+00         4.354700e-12         1.116110e-02      4.346170e-12         6.850270e-03      4.341550e-12         1.266590e-02      
1.102532e+01         4.359410e-12         7.640390e-03      4.335130e-12         1.121740e-02      4.357080e-12         6.161900e-03      
1.227848e+01         4.289860e-12         2.652550e-03      4.315900e-12         3.778140e-03      4.295570e-12         -1.622640e-04      
1.353165e+01         4.344160e-12         7.456160e-03      4.339680e-12         9.063360e-03      4.340460e-12         1.052620e-02      
1.478481e+01         4.347940e-12         9.517210e-03      4.347820e-12         9.411190e-03      4.348740e-12         1.001030e-02      
1.603797e+01         4.346420e-12         8.347460e-03      4.348410e-12         9.583870e-03      4.345960e-12         1.063550e-02      
1.729114e+01         4.348390e-12         8.655700e-03      4.352010e-12         9.459580e-03      4.347300e-12         9.775620e-03      
1.854430e+01         4.350130e-12         9.429480e-03      4.342330e-12         9.587520e-03      4.351510e-12         9.484670e-03      
1.979747e+01         4.305270e-12         2.754230e-03      4.306650e-12         1.680080e-03      4.301350e-12         1.356400e-03      
2.105063e+01         4.346550e-12         8.596290e-03      4.345320e-12         1.053200e-02      4.345180e-12         8.294800e-03      
2.230380e+01         4.302570e-12         2.348330e-03      4.302390e-12         1.980110e-03      4.304450e-12         1.793860e-03      
2.355696e+01         4.344430e-12         9.637450e-03      4.349340e-12         1.025970e-02      4.355060e-12         1.015910e-02      
2.481013e+01         4.297070e-12         4.216970e-03      4.308370e-12         2.919710e-03      4.304920e-12         8.602030e-04      
2.606329e+01         4.345850e-12         1.054590e-02      4.347690e-12         9.698190e-03      4.345030e-12         9.605900e-03      
2.731646e+01         4.346250e-12         1.061830e-02      4.345570e-12         8.209350e-03      4.348640e-12         1.033160e-02      
2.856962e+01         4.342160e-12         8.628130e-03      4.350590e-12         9.827950e-03      4.342310e-12         9.117760e-03      
2.982278e+01         4.344270e-12         1.028040e-02      4.347320e-12         1.004590e-02      4.348320e-12         8.638100e-03      
3.107595e+01         4.347100e-12         1.056180e-02      4.346540e-12         8.864310e-03      4.344030e-12         1.021600e-02      
3.232911e+01         4.346720e-12         9.499970e-03      4.345310e-12         8.918600e-03      4.340230e-12         8.818370e-03      
3.358228e+01         4.293220e-12         5.033690e-05      4.310940e-12         5.212820e-03      4.300810e-12         -1.067250e-03      
3.483544e+01         4.336170e-12         1.313860e-02      4.339660e-12         5.264500e-03      4.355860e-12         1.248350e-02      
3.608861e+01         4.339320e-12         7.090790e-03      4.350020e-12         1.286880e-02      4.353200e-12         6.842500e-03      
3.734177e+01         4.308450e-12         -5.090610e-04      4.293980e-12         3.031180e-03      4.311440e-12         4.089260e-03      
3.859494e+01         4.344540e-12         1.187250e-02      4.353890e-12         9.317960e-03      4.343700e-12         7.121050e-03      
3.984810e+01         4.310600e-12         2.537580e-03      4.304600e-12         9.790280e-04      4.299630e-12         9.954870e-04      
4.110127e+01         4.345040e-12         9.437190e-03      4.346380e-12         9.706420e-03      4.345090e-12         9.365010e-03      
4.235443e+01         4.347750e-12         9.501130e-03      4.345480e-12         1.003680e-02      4.344070e-12         9.526240e-03      
4.360759e+01         4.345040e-12         1.036600e-02      4.342280e-12         8.537150e-03      4.349290e-12         8.916790e-03      
4.486076e+01         4.347500e-12         8.166620e-03      4.346390e-12         1.054630e-02      4.342630e-12         1.018620e-02      
4.611392e+01         4.342890e-12         1.008670e-02      4.345500e-12         9.798270e-03      4.346390e-12         9.537420e-03      
4.736709e+01         4.339910e-12         9.772080e-03      4.343400e-12         1.040500e-02      4.350310e-12         1.052590e-02      
4.862025e+01         4.316800e-12         3.287890e-03      4.295150e-12         1.003460e-04      4.308070e-12         5.145890e-03      
4.987342e+01         4.349010e-12         6.154350e-03      4.338740e-12         1.281410e-02      4.355360e-12         7.349280e-03      
5.112658e+01         4.308770e-12         2.420530e-03      4.307250e-12         1.702110e-03      4.303860e-12         2.241470e-03      
5.237975e+01         4.344730e-12         9.473730e-03      4.346940e-12         8.653380e-03      4.349210e-12         9.443620e-03      
5.363291e+01         4.344450e-12         8.842180e-03      4.350330e-12         1.010720e-02      4.341680e-12         1.049050e-02      
5.488608e+01         4.343050e-12         8.487020e-03      4.348550e-12         1.000500e-02      4.339830e-12         9.458230e-03      
5.613924e+01         4.343050e-12         9.729160e-03      4.346120e-12         9.167080e-03      4.345110e-12         8.838110e-03      
5.739241e+01         4.298870e-12         1.706770e-03      4.301050e-12         3.553840e-03      4.302570e-12         3.503680e-03      
5.864557e+01         4.363850e-12         9.975350e-03      4.339990e-12         9.778510e-03      4.343910e-12         1.139350e-02      
5.989873e+01         4.289760e-12         2.357600e-03      4.311000e-12         5.109120e-03      4.294700e-12         -1.136460e-03      
6.115190e+01         4.363800e-12         1.043840e-02      4.331030e-12         1.277490e-02      4.344700e-12         4.998170e-03      
6.240506e+01         4.360340e-12         8.387690e-03      4.330440e-12         1.074160e-02      4.359530e-12         9.444390e-03      
6.365823e+01         4.310750e-12         2.685170e-03      4.301360e-12         5.522730e-04      4.293730e-12         2.697030e-03      
6.491139e+01         4.350150e-12         8.824010e-03      4.346100e-12         8.811810e-03      4.339690e-12         8.873500e-03      
6.616456e+01         4.344250e-12         9.700840e-03      4.344170e-12         1.017050e-02      4.345990e-12         9.857140e-03      
6.741772e+01         4.302980e-12         2.598990e-03      4.300140e-12         2.181310e-03      4.306840e-12         1.633420e-03      
6.867089e+01         4.351390e-12         1.023580e-02      4.339440e-12         9.783440e-03      4.349100e-12         9.270300e-03      
6.992405e+01         4.343970e-12         1.074380e-02      4.341380e-12         9.773110e-03      4.346580e-12         8.950820e-03      
7.117722e+01         4.304980e-12         1.474910e-03      4.303250e-12         3.361600e-03      4.297380e-12         1.415970e-03      
7.243038e+01         4.346870e-12         1.003090e-02      4.343580e-12         1.058660e-02      4.346250e-12         9.997220e-03      
7.368354e+01         4.348540e-12         8.419850e-03      4.340290e-12         9.172240e-03      4.339740e-12         1.128420e-02      
7.493671e+01         4.294140e-12         4.488620e-03      4.316050e-12         3.133890e-04      4.289640e-12         3.382010e-03      
7.618987e+01         4.341480e-12         8.101550e-03      4.339820e-12         9.709880e-03      4.339600e-12         9.805880e-03      
7.744304e+01         4.343250e-12         9.646660e-03      4.345620e-12         9.793530e-03      4.344080e-12         9.836800e-03      
7.869620e+01         4.343810e-12         9.505850e-03      4.346490e-12         9.839450e-03      4.345660e-12         1.002100e-02      
7.994937e+01         4.349050e-12         9.153160e-03      4.346610e-12         1.002370e-02      4.345250e-12         1.050050e-02      
8.120253e+01         4.347110e-12         9.656890e-03      4.346820e-12         1.000500e-02      4.344080e-12         9.776530e-03      
8.245570e+01         4.348610e-12         1.028620e-02      4.346070e-12         1.016450e-02      4.347540e-12         9.027460e-03      
8.370886e+01         4.347850e-12         9.243940e-03      4.347280e-12         9.861500e-03      4.344800e-12         1.047570e-02      
8.496203e+01         4.301540e-12         1.140700e-03      4.304630e-12         3.627920e-03      4.308230e-12         1.949500e-03      
8.621519e+01         4.347030e-12         9.254950e-03      4.344590e-12         9.057870e-03      4.346100e-12         9.174680e-03      
8.746835e+01         4.300120e-12         2.762380e-03      4.304190e-12         2.972300e-03      4.308130e-12         2.292880e-03      
8.872152e+01         4.348520e-12         9.580370e-03      4.342570e-12         1.105450e-02      4.344560e-12         9.223850e-03      
8.997468e+01         4.347010e-12         1.082710e-02      4.351770e-12         8.064310e-03      4.332940e-12         8.897090e-03      
9.122785e+01         4.314390e-12         5.784900e-03      4.284380e-12         2.402070e-03      4.314790e-12         -1.184970e-03      
9.248101e+01         4.332400e-12         1.059580e-02      4.353290e-12         9.919540e-03      4.346740e-12         8.426160e-03      
9.373418e+01         4.345330e-12         9.425690e-03      4.343410e-12         1.033230e-02      4.344110e-12         9.062970e-03      
9.498734e+01         4.341880e-12         1.105420e-02      4.349610e-12         9.122570e-03      4.343850e-12         9.164760e-03      
9.624051e+01         4.347320e-12         9.972160e-03      4.346190e-12         9.419970e-03      4.347330e-12         9.191390e-03      
9.749367e+01         4.347350e-12         9.942490e-03      4.348010e-12         8.769020e-03      4.344290e-12         9.005530e-03      
9.874684e+01         4.346490e-12         1.067900e-02      4.349660e-12         9.211400e-03      4.343220e-12         8.621990e-03      
1.000000e+02         4.350200e-12         8.814640e-03      4.342820e-12         9.241380e-03      4.346850e-12         9.860730e-03      
