Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     
-1.000000e+00         1.111990e-10         2.799370e-01      1.111710e-10         2.799120e-01      1.111170e-10         2.798970e-01      
-2.253165e+00         4.012060e-11         1.903070e-03      4.009990e-11         1.660650e-03      4.009330e-11         1.218850e-03      
-3.506329e+00         3.293760e-11         8.411590e-04      3.293490e-11         1.999620e-03      3.297070e-11         1.359760e-03      
-4.759494e+00         2.894630e-11         -3.544360e-04      2.896250e-11         6.237580e-04      2.894240e-11         -4.238230e-04      
-6.012658e+00         2.644760e-11         6.798750e-04      2.645010e-11         1.703200e-03      2.642820e-11         1.298300e-03      
-7.265823e+00         2.454280e-11         2.695600e-04      2.453100e-11         1.076690e-04      2.453060e-11         4.275170e-05      
-8.518987e+00         2.313820e-11         1.353890e-03      2.313260e-11         1.345250e-03      2.313110e-11         1.360420e-03      
-9.772152e+00         2.199640e-11         1.511290e-03      2.199480e-11         1.537840e-03      2.199530e-11         1.486800e-03      
-1.102532e+01         2.101460e-11         1.311640e-03      2.100890e-11         1.740230e-03      2.101380e-11         1.714100e-03      
-1.227848e+01         2.016200e-11         -1.800940e-04      2.018550e-11         -2.943720e-04      2.014320e-11         -2.514310e-04      
-1.353165e+01         1.953760e-11         2.407570e-03      1.953970e-11         1.728150e-03      1.954000e-11         1.797570e-03      
-1.478481e+01         1.894200e-11         1.601830e-03      1.894600e-11         2.122340e-03      1.893820e-11         1.593140e-03      
-1.603797e+01         1.837820e-11         -2.642210e-05      1.837610e-11         1.478160e-04      1.837620e-11         1.603080e-04      
-1.729114e+01         1.796330e-11         1.884710e-03      1.796110e-11         2.002570e-03      1.796280e-11         1.912110e-03      
-1.854430e+01         1.754450e-11         1.980760e-03      1.754210e-11         1.896790e-03      1.754250e-11         2.033800e-03      
-1.979747e+01         1.716690e-11         2.121840e-03      1.716850e-11         2.136820e-03      1.717120e-11         2.117520e-03      
-2.105063e+01         1.681650e-11         1.851600e-03      1.682870e-11         2.223710e-03      1.681640e-11         2.139500e-03      
-2.230380e+01         1.646920e-11         -1.263460e-04      1.645230e-11         -6.588350e-05      1.648440e-11         6.945740e-04      
-2.355696e+01         1.625070e-11         1.393620e-03      1.622880e-11         3.664720e-04      1.620290e-11         2.303660e-03      
-2.481013e+01         1.591290e-11         -6.134210e-04      1.591880e-11         -3.695340e-05      1.591520e-11         1.705800e-04      
-2.606329e+01         1.571490e-11         2.737720e-03      1.570480e-11         2.488540e-03      1.570750e-11         1.728460e-03      
-2.731646e+01         1.546760e-11         3.092040e-03      1.549860e-11         1.252520e-03      1.545920e-11         2.343570e-03      
-2.856962e+01         1.524260e-11         -1.518670e-03      1.525080e-11         -6.013930e-04      1.523200e-11         1.585810e-03      
-2.982278e+01         1.508390e-11         2.218460e-03      1.506000e-11         1.478590e-03      1.505870e-11         2.688690e-03      
-3.107595e+01         1.487620e-11         1.198420e-03      1.486510e-11         3.255360e-03      1.488670e-11         1.115660e-03      
-3.232911e+01         1.472390e-11         3.690460e-03      1.468460e-11         3.819160e-03      1.467590e-11         2.562560e-03      
-3.358228e+01         1.449910e-11         1.869090e-03      1.452540e-11         1.008740e-03      1.451090e-11         -1.667310e-03      
-3.483544e+01         1.442110e-11         2.957870e-03      1.440770e-11         2.606380e-03      1.440560e-11         2.264220e-03      
-3.608861e+01         1.425830e-11         -7.663620e-04      1.424830e-11         1.212280e-03      1.425390e-11         -1.555230e-03      
-3.734177e+01         1.417150e-11         1.447890e-03      1.419890e-11         4.006340e-03      1.421210e-11         1.145040e-03      
-3.859494e+01         1.414230e-11         2.001500e-03      1.413100e-11         6.444680e-04      1.412700e-11         5.430840e-04      
-3.984810e+01         1.403430e-11         1.363070e-03      1.405970e-11         3.122470e-03      1.405390e-11         1.503640e-03      
-4.110127e+01         1.399660e-11         2.149250e-03      1.399770e-11         2.333360e-03      1.399740e-11         2.396990e-03      
-4.235443e+01         1.391700e-11         -9.946880e-05      1.391690e-11         -6.157930e-05      1.391740e-11         -3.693850e-04      
-4.360759e+01         1.393720e-11         2.112490e-03      1.393540e-11         2.150180e-03      1.393530e-11         2.089610e-03      
-4.486076e+01         1.391220e-11         2.489900e-03      1.391640e-11         2.551350e-03      1.392160e-11         1.977360e-03      
-4.611392e+01         1.389760e-11         1.844630e-03      1.389290e-11         1.826040e-03      1.389200e-11         1.946700e-03      
-4.736709e+01         1.383490e-11         3.818300e-04      1.384980e-11         -1.599490e-04      1.382950e-11         -1.223810e-03      
-4.862025e+01         1.386180e-11         3.556210e-03      1.386990e-11         4.642630e-04      1.389740e-11         2.979010e-03      
-4.987342e+01         1.383310e-11         1.271560e-03      1.380140e-11         -1.037950e-03      1.384280e-11         -3.132580e-04      
-5.112658e+01         1.383940e-11         2.821470e-03      1.386490e-11         3.994520e-04      1.386800e-11         3.867050e-03      
-5.237975e+01         1.380070e-11         1.356290e-03      1.380080e-11         -1.785100e-03      1.381600e-11         9.444990e-04      
-5.363291e+01         1.384430e-11         1.822460e-03      1.384370e-11         1.854280e-03      1.384210e-11         2.287610e-03      
-5.488608e+01         1.383280e-11         2.207780e-03      1.384930e-11         3.094320e-03      1.384590e-11         7.248810e-04      
-5.613924e+01         1.383850e-11         3.835250e-03      1.381780e-11         1.018730e-03      1.385380e-11         3.031430e-04      
-5.739241e+01         1.382460e-11         4.098940e-03      1.380970e-11         2.178500e-03      1.383480e-11         2.098740e-04      
-5.864557e+01         1.383500e-11         4.351120e-04      1.384370e-11         3.449320e-03      1.381890e-11         1.395350e-03      
-5.989873e+01         1.377330e-11         -4.306030e-04      1.379360e-11         4.800690e-04      1.378540e-11         -1.347860e-03      
-6.115190e+01         1.383310e-11         2.662320e-03      1.383490e-11         1.407880e-03      1.381390e-11         2.251860e-03      
-6.240506e+01         1.384560e-11         2.947190e-03      1.380810e-11         2.829270e-03      1.381240e-11         2.488980e-04      
-6.365823e+01         1.383740e-11         5.413310e-04      1.381910e-11         5.700780e-05      1.380090e-11         1.187400e-03      
-6.491139e+01         1.380620e-11         2.883250e-03      1.383570e-11         1.520710e-03      1.381060e-11         2.791210e-03      
-6.616456e+01         1.380570e-11         2.546160e-03      1.382640e-11         1.212880e-03      1.382090e-11         3.179810e-03      
-6.741772e+01         1.380640e-11         6.960790e-04      1.380700e-11         3.584250e-03      1.384170e-11         2.530210e-03      
-6.867089e+01         1.384210e-11         2.541240e-03      1.383490e-11         6.617090e-04      1.381830e-11         2.355570e-04      
-6.992405e+01         1.379640e-11         3.444410e-03      1.380810e-11         3.719190e-03      1.381290e-11         3.914000e-03      
-7.117722e+01         1.380110e-11         4.537040e-04      1.382590e-11         5.579680e-04      1.384150e-11         2.585140e-03      
-7.243038e+01         1.383150e-11         1.043900e-03      1.382290e-11         3.559290e-03      1.379250e-11         1.700240e-03      
-7.368354e+01         1.383090e-11         1.324910e-03      1.381140e-11         3.786380e-03      1.379350e-11         1.331820e-03      
-7.493671e+01         1.383050e-11         1.079590e-03      1.381980e-11         3.708080e-03      1.378990e-11         2.520770e-03      
-7.618987e+01         1.379030e-11         5.770920e-05      1.378050e-11         1.416390e-03      1.375760e-11         1.444880e-03      
-7.744304e+01         1.382860e-11         3.394720e-03      1.378820e-11         2.721860e-03      1.380940e-11         2.921220e-04      
-7.869620e+01         1.382520e-11         9.021960e-04      1.381820e-11         3.350400e-03      1.378960e-11         1.574560e-03      
-7.994937e+01         1.374230e-11         -1.284740e-03      1.375840e-11         -2.199340e-03      1.376580e-11         -2.326800e-03      
-8.120253e+01         1.382650e-11         2.985420e-03      1.380000e-11         5.799310e-04      1.381000e-11         3.387080e-03      
-8.245570e+01         1.377000e-11         2.466930e-04      1.375180e-11         -2.722900e-04      1.376050e-11         -9.943980e-04      
-8.370886e+01         1.380700e-11         1.329980e-03      1.381510e-11         2.109850e-03      1.379680e-11         2.797150e-03      
-8.496203e+01         1.381270e-11         1.354430e-04      1.377830e-11         1.148020e-03      1.378330e-11         2.815090e-03      
-8.621519e+01         1.375580e-11         1.627870e-03      1.375350e-11         1.631370e-03      1.374770e-11         1.400160e-03      
-8.746835e+01         1.379350e-11         4.062110e-04      1.380340e-11         1.783300e-04      1.381460e-11         3.697880e-04      
-8.872152e+01         1.377620e-11         1.103170e-03      1.376810e-11         1.470120e-03      1.376740e-11         1.662460e-03      
-8.997468e+01         1.379400e-11         5.895260e-04      1.377600e-11         2.239900e-03      1.380610e-11         3.885250e-03      
-9.122785e+01         1.376150e-11         1.212990e-03      1.377480e-11         -1.349840e-03      1.373720e-11         -4.126440e-04      
-9.248101e+01         1.379160e-11         2.637000e-03      1.380310e-11         1.118270e-03      1.381040e-11         2.078600e-03      
-9.373418e+01         1.375320e-11         -7.299140e-04      1.375740e-11         -9.754900e-04      1.376060e-11         -6.224760e-04      
-9.498734e+01         1.380020e-11         1.763340e-03      1.379740e-11         2.059230e-03      1.380080e-11         2.197440e-03      
-9.624051e+01         1.379380e-11         2.147100e-03      1.380070e-11         2.223370e-03      1.380260e-11         1.968460e-03      
-9.749367e+01         1.379830e-11         1.920910e-03      1.380130e-11         2.168900e-03      1.380090e-11         2.335640e-03      
-9.874684e+01         1.379840e-11         1.848680e-03      1.379720e-11         2.065630e-03      1.379830e-11         2.545820e-03      
-1.000000e+02         1.375360e-11         -5.180730e-04      1.375750e-11         -2.366050e-05      1.376110e-11         -6.163340e-04      
