Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     
-1.000000e+00         4.305880e-12         1.139560e-02      4.314730e-12         1.847820e-02      4.283840e-12         2.285290e-02      
-2.253165e+00         4.309640e-12         8.011740e-03      4.301620e-12         1.385180e-02      4.284910e-12         1.658840e-02      
-3.506329e+00         4.218430e-12         6.286380e-03      4.227070e-12         7.911170e-03      4.251050e-12         7.943300e-03      
-4.759494e+00         4.273700e-12         1.456320e-02      4.307000e-12         9.110350e-03      4.267230e-12         5.971360e-03      
-6.012658e+00         4.257160e-12         9.606140e-03      4.296380e-12         1.458550e-02      4.303030e-12         4.735410e-03      
-7.265823e+00         4.262630e-12         1.305100e-02      4.263150e-12         1.496620e-02      4.263950e-12         1.496180e-02      
-8.518987e+00         4.297820e-12         3.605100e-03      4.311870e-12         9.941720e-03      4.289630e-12         1.647520e-02      
-9.772152e+00         4.298200e-12         4.078780e-03      4.313050e-12         9.464630e-03      4.307130e-12         1.458530e-02      
-1.102532e+01         4.268590e-12         4.175030e-03      4.256750e-12         -2.760280e-03      4.217980e-12         -1.220200e-03      
-1.227848e+01         4.276440e-12         1.359610e-02      4.288100e-12         5.896420e-03      4.291350e-12         1.324780e-02      
-1.353165e+01         4.278280e-12         1.244180e-02      4.287960e-12         6.137660e-03      4.291340e-12         1.462590e-02      
-1.478481e+01         4.312690e-12         1.176220e-02      4.291000e-12         3.266160e-03      4.254720e-12         8.853480e-03      
-1.603797e+01         4.251300e-12         8.086470e-03      4.253800e-12         7.713580e-03      4.253110e-12         8.416890e-03      
-1.729114e+01         4.262160e-12         1.252380e-02      4.259470e-12         7.872680e-03      4.276970e-12         4.348550e-03      
-1.854430e+01         4.221950e-12         5.798480e-03      4.230110e-12         -3.349540e-03      4.265470e-12         2.874970e-03      
-1.979747e+01         4.272390e-12         8.969110e-03      4.294570e-12         1.216810e-02      4.291550e-12         7.084530e-03      
-2.105063e+01         4.291050e-12         1.012580e-02      4.287230e-12         9.651370e-03      4.286630e-12         9.780590e-03      
-2.230380e+01         4.284590e-12         8.614920e-03      4.283480e-12         9.140640e-03      4.283280e-12         9.321370e-03      
-2.355696e+01         4.290370e-12         1.167900e-02      4.294470e-12         8.729430e-03      4.277270e-12         7.704900e-03      
-2.481013e+01         4.227440e-12         -7.468290e-04      4.245480e-12         5.755980e-03      4.241060e-12         -2.115300e-03      
-2.606329e+01         4.311490e-12         9.110440e-03      4.295020e-12         1.635620e-02      4.265640e-12         1.477790e-02      
-2.731646e+01         4.256590e-12         1.012370e-02      4.262270e-12         1.259650e-02      4.285490e-12         1.658620e-02      
-2.856962e+01         4.277550e-12         1.499970e-02      4.298930e-12         6.726030e-03      4.272220e-12         1.362640e-02      
-2.982278e+01         4.228070e-12         1.894050e-03      4.238900e-12         4.818050e-04      4.247330e-12         2.186330e-03      
-3.107595e+01         4.281770e-12         1.082710e-02      4.279750e-12         9.555660e-03      4.281630e-12         8.471250e-03      
-3.232911e+01         4.286730e-12         1.006470e-02      4.289100e-12         1.013050e-02      4.287700e-12         1.052930e-02      
-3.358228e+01         4.307020e-12         1.026650e-02      4.264470e-12         8.091530e-03      4.297800e-12         1.465210e-02      
-3.483544e+01         4.258460e-12         9.994290e-03      4.258700e-12         8.838940e-03      4.269040e-12         4.802190e-03      
-3.608861e+01         4.310000e-12         1.138390e-02      4.291680e-12         1.581730e-02      4.261620e-12         1.322440e-02      
-3.734177e+01         4.271660e-12         6.656030e-03      4.306740e-12         1.277680e-02      4.262060e-12         8.833650e-03      
-3.859494e+01         4.299070e-12         5.683010e-03      4.280410e-12         1.538310e-02      4.269790e-12         5.309570e-03      
-3.984810e+01         4.306680e-12         1.494410e-02      4.302760e-12         1.579700e-02      4.311120e-12         1.128460e-02      
-4.110127e+01         4.261870e-12         1.278910e-02      4.307990e-12         1.167570e-02      4.266150e-12         7.380580e-03      
-4.235443e+01         4.249050e-12         -9.276060e-04      4.242610e-12         5.013810e-03      4.227510e-12         -1.326160e-04      
-4.360759e+01         4.286980e-12         7.068990e-03      4.294330e-12         1.275640e-02      4.270340e-12         8.981940e-03      
-4.486076e+01         4.293340e-12         1.510080e-02      4.307870e-12         7.218270e-03      4.264670e-12         5.084490e-03      
-4.611392e+01         4.289980e-12         1.639360e-02      4.295250e-12         1.651470e-02      4.283390e-12         1.756690e-02      
-4.736709e+01         4.263570e-12         5.294350e-03      4.288200e-12         3.634660e-03      4.311090e-12         8.284830e-03      
-4.862025e+01         4.225840e-12         8.752570e-03      4.212820e-12         4.392740e-03      4.211190e-12         3.561420e-03      
-4.987342e+01         4.309930e-12         9.043110e-03      4.273960e-12         4.824960e-03      4.267170e-12         1.398670e-02      
-5.112658e+01         4.295180e-12         1.306360e-02      4.271920e-12         9.860760e-03      4.286390e-12         7.696450e-03      
-5.237975e+01         4.285640e-12         1.120650e-02      4.283320e-12         1.043010e-02      4.285240e-12         1.002480e-02      
-5.363291e+01         4.233390e-12         2.096320e-03      4.237040e-12         2.079610e-03      4.237030e-12         1.094330e-03      
-5.488608e+01         4.283740e-12         1.208160e-02      4.271690e-12         8.911330e-03      4.288400e-12         7.513240e-03      
-5.613924e+01         4.291750e-12         7.766570e-03      4.286800e-12         1.336920e-02      4.270970e-12         7.802280e-03      
-5.739241e+01         4.260730e-12         4.181250e-03      4.229090e-12         -2.399320e-03      4.229370e-12         7.416730e-03      
-5.864557e+01         4.309010e-12         1.088720e-02      4.297040e-12         1.515260e-02      4.265170e-12         1.393470e-02      
-5.989873e+01         4.297220e-12         1.586020e-02      4.267760e-12         1.487710e-02      4.258400e-12         1.253770e-02      
-6.115190e+01         4.280350e-12         1.652390e-02      4.304780e-12         1.424690e-02      4.296920e-12         6.030840e-03      
-6.240506e+01         4.273690e-12         7.837740e-03      4.297720e-12         1.002030e-02      4.270290e-12         1.084150e-02      
-6.365823e+01         4.227250e-12         1.329680e-03      4.250380e-12         8.532320e-04      4.242680e-12         3.951430e-03      
-6.491139e+01         4.281080e-12         8.860380e-03      4.286700e-12         8.598400e-03      4.287520e-12         1.000290e-02      
-6.616456e+01         4.289270e-12         1.047110e-02      4.285680e-12         1.122880e-02      4.282140e-12         1.040220e-02      
-6.741772e+01         4.233680e-12         2.134280e-03      4.237070e-12         7.229920e-04      4.252660e-12         2.056410e-03      
-6.867089e+01         4.264790e-12         1.090390e-02      4.305310e-12         1.125070e-02      4.268760e-12         7.524920e-03      
-6.992405e+01         4.225510e-12         6.026530e-03      4.255170e-12         -1.013950e-03      4.229970e-12         5.466110e-03      
-7.117722e+01         4.274970e-12         1.186990e-02      4.279660e-12         8.143170e-03      4.294140e-12         8.733370e-03      
